SAT Math,SAT Verbal,GPA,Credits earned,Family income,Days drinking (last 30 days),Income
3,3,274,57,75500,3,37500
6,6,334,128,80100,30,40000
4,5,376,148,27000,3,27000
5,4,313,143,15000,7,15000
3,4,93,11,31000,7,5000
5,4,359,133,68200,0,68000
4,4,133,9,70000,2,40000
4,5,265,97,36000,5,36000
4,5,361,69,40750,25,37000
3,4,400,6,27850,2,2000
4,5,263,120,69850,0,29000
5,6,157,8,157300,4,35000
4,4,333,24,14250,15,4000
6,6,269,123,44900,4,44900
3,5,225,82,60000,2,52000
3,2,162,24,51750,2,22000
4,4,327,11,2200,6,2200
5,5,153,20,48000,0,10000
5,6,350,6,24500,3,14500
6,6,383,127,43500,1,1500
3,3,270,121,27250,2,27000
3,2,50,6,71850,1,36000
4,4,307,122,79350,8,18000
4,4,343,135,39250,1,39000
3,4,373,125,8750,0,7000
4,4,330,108,10250,8,8500
5,5,323,120,66250,0,34500
4,4,316,123,67750,3,33000
6,6,250,8,63000,3,28000
3,3,195,37,24900,5,24000
5,2,138,12,25000,0,25000
4,4,248,31,98000,5,0
3,2,300,15,102500,1,15000
4,3,100,19,49100,0,8000
3,3,275,66,50900,0,22700
4,4,207,53,35000,4,35000
5,3,100,1,74000,12,14000
2,2,158,32,7500,2,7000
4,4,220,43,70000,4,28000
3,2,309,104,42050,5,42000
4,5,0,12,115250,2,20000
3,3,329,17,65000,3,65000
5,4,167,6,20000,25,20000
5,4,321,122,30000,25,30000
4,4,326,61,36500,1,36500
4,5,367,143,51627,1,36221
4,4,280,127,20250,25,20000
5,4,353,144,95050,2,55000
4,5,365,121,55750,10,20000
3,4,239,151,18000,1,8000
4,6,376,32,44250,20,23000
4,4,336,129,279104,10,35000
3,4,258,133,40250,0,22000
3,2,351,103,109025,0,13800
4,4,305,116,14500,0,12000
2,1,248,81,31250,10,13000
4,6,320,120,16750,10,8000
4,4,341,32,63000,1,12000
4,5,221,50,50000,5,25000
5,4,334,130,42000,10,42000
6,4,303,30,131750,1,64000
5,5,356,127,61280,10,7500
6,6,325,12,98000,2,48000
3,4,363,30,42750,5,42000
4,4,338,125,43750,10,15000
3,5,400,6,10750,20,10000
4,4,257,120,126000,5,23000
5,6,400,29,66932,5,44432
4,4,340,129,36600,2,28000
2,2,276,143,30500,0,6500
2,4,336,78,46000,1,16000
4,4,350,139,92000,4,42000
5,4,357,160,16000,15,16000
5,5,240,21,8300,25,8000
4,5,335,123,86200,13,112215
5,4,317,133,156750,0,10000
5,6,362,186,16350,3,6000
4,4,299,116,117700,6,112215
4,4,284,155,17500,4,17500
4,4,243,133,44500,20,7000
5,5,379,56,11250,12,11000
4,4,298,144,67000,2,20000
3,4,300,10,61750,15,40000
4,4,315,137,17325,4,11000
4,5,327,33,45000,25,45000
5,3,280,60,60000,2,30000
3,6,260,5,75000,30,65000
3,3,136,13,85000,2,29000
